ID1;Diam;Err;RA_d;DEC_d
HD139357               ; 1.07300e+00; 1.20000e-02;233.81749;+53.92214
HD150010               ; 1.02400e+00; 2.80000e-02;247.86761;+72.61234
HD152812               ; 1.44000e+00; 3.00000e-03;253.32310;+47.41672
HD157681               ; 1.66400e+00; 9.00000e-03;260.43903;+53.42043
HD160290               ; 1.51500e+00; 1.00000e-02;264.15689;+48.58563
HD167042               ; 9.22000e-01; 1.70000e-02;272.63184;+54.28655
HD170693               ; 2.04100e+00; 4.10000e-02;276.49641;+65.56347
HD175823               ; 9.88000e-01; 2.20000e-02;283.44296;+57.48656
HD176408               ; 1.12500e+00; 2.20000e-02;284.18766;+57.81482
HD186815               ; 7.31000e-01; 2.00000e-02;295.91457;+57.04271
HD192781               ; 1.85900e+00; 2.00000e-03;303.36507;+60.64057
HD195820               ; 8.63000e-01; 4.00000e-02;307.83813;+52.30952
HD200205               ; 2.03200e+00; 4.30000e-02;314.85577;+59.43860
HD214868               ; 2.73100e+00; 2.00000e-02;340.12858;+44.27631
HD203                  ; 4.92000e-01; 3.20000e-02;001.70869;-23.10754
HD29391                ; 5.18000e-01; 9.00000e-03;069.40055;-02.47355
HD11977                ; 1.58000e+00; 5.80000e-02;028.73388;-67.64730
HD23319                ; 1.98200e+00; 5.30000e-02;055.70856;-37.31352
HD27256                ; 2.61800e+00; 7.70000e-02;063.60618;-62.47386
HD36848                ; 1.38600e+00; 9.80000e-02;083.21422;-38.51337
HD103095               ; 6.79000e-01; 1.50000e-02;178.24487;+37.71868
HD122563               ; 9.40000e-01; 1.10000e-02;210.63269;+09.68610
HD4614                 ; 1.62300e+00; 4.00000e-03;012.27621;+57.81519
HD5015                 ; 8.65000e-01; 1.00000e-02;013.26748;+61.12397
HD6582                 ; 9.72000e-01; 9.00000e-03;017.06831;+54.92034
HD10780                ; 7.63000e-01; 1.80000e-02;026.93681;+63.85250
HD16895                ; 1.10300e+00; 8.00000e-03;041.04995;+49.22845
HD19373                ; 1.24600e+00; 7.00000e-03;047.26675;+49.61328
HD20630                ; 9.36000e-01; 2.40000e-02;049.84040;+03.37020
HD22484                ; 1.08100e+00; 1.40000e-02;054.21727;+00.39959
HD30652                ; 1.52600e+00; 4.00000e-03;072.46005;+06.96127
HD34411                ; 9.81000e-01; 1.50000e-02;079.78531;+40.09905
HD39587                ; 1.05100e+00; 9.00000e-03;088.59576;+20.27617
HD48737                ; 1.40100e+00; 9.00000e-03;101.32235;+12.89559
HD56537                ; 8.35000e-01; 1.30000e-02;109.52325;+16.54039
HD58946                ; 8.53000e-01; 1.30000e-02;112.27800;+31.78455
HD81937                ; 1.13300e+00; 9.00000e-03;142.88212;+63.06186
HD82328                ; 1.63200e+00; 5.00000e-03;143.21431;+51.67730
HD82885                ; 8.21000e-01; 1.20000e-02;143.91459;+35.81013
HD86728                ; 7.71000e-01; 1.20000e-02;150.25274;+31.92367
HD90839                ; 7.94000e-01; 1.40000e-02;157.65658;+55.98054
HD95418                ; 1.14900e+00; 1.40000e-02;165.46032;+56.38243
HD97603                ; 1.32800e+00; 8.00000e-03;168.52709;+20.52372
HD101501               ; 9.10000e-01; 9.00000e-03;175.26257;+34.20163
HD102870               ; 1.43100e+00; 6.00000e-03;177.67383;+01.76472
HD103095               ; 6.96000e-01; 5.00000e-03;178.24487;+37.71868
